# Semiconductor Yield Analysis is easy with Quantix! 
# Check latest news: www.mentor.com 
# Created by: Examinator-Pro - V7.8.24
# Examinator Data File: Edit/Add/Remove any data you want! 

--- Csv version:
Major,2
Minor,1
--- Global Info:
Date,2021_04_13 15:28:20
SetupTime,2021_04_13 15:28:20
StartTime,2021_04_13 15:28:20
FinishTime,2021_04_13 15:30:55
ProgramName,TestPlan_AB1568_8260_E2/src/testProgram/FT1_AB1568_8260_FRDVP01P01.prog
Wafer_Pos_X, 
Wafer_Pos_Y, 
TesterName,localhost
TesterType,93000-SOC
ExecType,SmarTest
ExecRevision,Smartest : s/w rev. 8.2.6.0 (E) , Tue, 18 Feb 2020 07:32:58 +0100; : , 
TesterSerialNumber,MY04605173
SoftBinName,6800,Efuse
HardBinName,2,ATPG
--- Site details:, Head #1
Site group,0
Testing sites,1 2 3 4 5 6 7 8 
--- Options:
UnitsMode,scaling_factor

